sequence,key,open,high,low,close,volume,time,chart_day,time_et
412,SPY,681.36,681.49,681.14,681.23,80721.0,1761933120000,20392,2025-10-31 13:52:00 EDT
413,SPY,681.24,681.28,681.06,681.2,54329.0,1761933180000,20392,2025-10-31 13:53:00 EDT
414,SPY,681.22,681.31,681.16,681.22,37978.0,1761933240000,20392,2025-10-31 13:54:00 EDT
415,SPY,681.21,681.23,680.89,681.005,73663.0,1761933300000,20392,2025-10-31 13:55:00 EDT
416,SPY,680.9999,681.09,680.79,681.04,72275.0,1761933360000,20392,2025-10-31 13:56:00 EDT
417,SPY,681.03,681.03,680.79,680.805,53843.0,1761933420000,20392,2025-10-31 13:57:00 EDT
418,SPY,680.8,680.9,680.69,680.77,70281.0,1761933480000,20392,2025-10-31 13:58:00 EDT
419,SPY,680.78,680.93,680.75,680.87,54139.0,1761933540000,20392,2025-10-31 13:59:00 EDT
420,SPY,680.86,681.27,680.81,681.215,106710.0,1761933600000,20392,2025-10-31 14:00:00 EDT
421,SPY,681.24,681.41,681.23,681.34,78742.0,1761933660000,20392,2025-10-31 14:01:00 EDT
422,SPY,681.33,681.66,681.25,681.62,112138.0,1761933720000,20392,2025-10-31 14:02:00 EDT
423,SPY,681.61,681.72,681.47,681.56,132346.0,1761933780000,20392,2025-10-31 14:03:00 EDT
424,SPY,681.56,681.7501,681.47,681.74,158265.0,1761933840000,20392,2025-10-31 14:04:00 EDT
425,SPY,681.735,681.835,681.69,681.72,116233.0,1761933900000,20392,2025-10-31 14:05:00 EDT
426,SPY,681.725,681.725,681.44,681.495,109773.0,1761933960000,20392,2025-10-31 14:06:00 EDT
427,SPY,681.485,681.77,681.47,681.73,60634.0,1761934020000,20392,2025-10-31 14:07:00 EDT
428,SPY,681.72,682.0,681.71,681.9601,65626.0,1761934080000,20392,2025-10-31 14:08:00 EDT
429,SPY,681.98,682.04,681.76,681.855,89373.0,1761934140000,20392,2025-10-31 14:09:00 EDT
430,SPY,681.86,681.885,681.74,681.83,50332.0,1761934200000,20392,2025-10-31 14:10:00 EDT
431,SPY,681.84,682.18,681.83,682.03,130260.0,1761934260000,20392,2025-10-31 14:11:00 EDT
432,SPY,682.06,682.06,681.83,682.02,61332.0,1761934320000,20392,2025-10-31 14:12:00 EDT
433,SPY,682.03,682.07,681.85,681.99,45625.0,1761934380000,20392,2025-10-31 14:13:00 EDT
434,SPY,681.99,682.06,681.92,681.99,59883.0,1761934440000,20392,2025-10-31 14:14:00 EDT
