symbol,description,bid_price,ask_price,last_price,high_price,low_price,close_price,total_volume,open_interest,volatility,money_intrinsic_value,expiration_year,multiplier,digits,open_price,bid_size,ask_size,last_size,net_change,strike_price,contract_type,underlying,expiration_month,deliverables,time_value,expiration_day,days_to_expiration,delta,gamma,theta,vega,rho,security_status,theoretical_option_value,underlying_price,uv_expiration_type,mark_price,quote_time,trade_time,exchange,exchange_name,last_trading_day,settlement_type,net_percent_change,mark_price_net_change,mark_price_percent_change,implied_yield,is_penny_pilot,option_root,week_52_high,week_52_low,indicative_ask_price,indicative_bid_price,indicative_quote_time,exercise_type,field_delayed,field_assetMainType,time_et
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1211.14904855,161.49,2025,100,2,165,171,159,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.93999695,31,0,1.0,0,0,0,0,Normal,161.4837,271.49,W,161.475,1761933185596,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:05 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1211.14904855,161.52,2025,100,2,165,171,159,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.96999695,31,0,1.0,0,0,0,0,Normal,161.4837,271.52,W,161.475,1761933188943,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:08 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1211.14904855,161.54,2025,100,2,165,171,159,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.98999695,31,0,1.0,0,0,0,0,Normal,161.4837,271.54,W,161.475,1761933190246,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:10 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.79402893,161.555,2025,100,2,165,145,149,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-2.00499695,31,0,1.0,0,0,0,0,Normal,161.555,271.555,W,161.475,1761933199055,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:19 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.79402893,161.5,2025,100,2,165,144,148,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.94999695,31,0,1.0,0,0,0,0,Normal,161.555,271.5,W,161.475,1761933200588,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:20 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.79402893,161.5,2025,100,2,165,145,146,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.94999695,31,0,1.0,0,0,0,0,Normal,161.555,271.5,W,161.475,1761933201632,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:21 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.79402893,161.5225,2025,100,2,165,140,141,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.97249695,31,0,1.0,0,0,0,0,Normal,161.555,271.5225,W,161.475,1761933207701,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:27 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.79402893,161.48,2025,100,2,165,145,146,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.92999695,31,0,1.0,0,0,0,0,Normal,161.555,271.48,W,161.475,1761933208556,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:28 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.42672904,161.4401,2025,100,2,165,146,147,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.89009695,31,0,1.0,0,0,0,0,Normal,161.4722,271.4401,W,161.475,1761933211128,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:31 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.42672904,161.46,2025,100,2,165,145,146,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.90999695,31,0,1.0,0,0,0,0,Normal,161.4722,271.46,W,161.475,1761933212128,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:32 EDT
